2001:2b8:381::,2001:2b8:ffff:ffff:ffff:ffff:ffff:ffff,42540543305861359148723643901601120256,42540543384005115202793659125433630719,"AS17832 Korea Internet Security Agency"
2001:2c0::,2001:2c0:ffff:ffff:ffff:ffff:ffff:ffff,42540543938602252802644022280241283072,42540544017830415316908359873785233407,"AS2514 NTT PC Communications, Inc."
2001:2c8::,2001:2c8:ffff:ffff:ffff:ffff:ffff:ffff,42540544572427552916758723028592885760,42540544651655715431023060622136836095,"AS4716 POWEREDCOM KDDI CORPORATION"
2001:2d8::,2001:2d8:2:ffff:ffff:ffff:ffff:ffff,42540545840078153144988124525296091136,42540545840081779922446968412820209663,"AS9644 SK Telecom"
2001:2d8:10::,2001:2d8:10:ffff:ffff:ffff:ffff:ffff,42540545840097495958101958592091389952,42540545840098704883921573221266096127,"AS9644 SK Telecom"
2001:2d8:20::,2001:2d8:20:ffff:ffff:ffff:ffff:ffff,42540545840116838771215792658886688768,42540545840118047697035407288061394943,"AS9644 SK Telecom"
2001:2e0::,2001:2e0:ffff:ffff:ffff:ffff:ffff:ffff,42540546473903453259102825273647693824,42540546553131615773367162867191644159,"AS9293 Arcstar-hk Route server"
2001:2e8::,2001:2e8:ffff:ffff:ffff:ffff:ffff:ffff,42540547107728753373217526021999296512,42540547186956915887481863615543246847,"AS4691 Dream Train Internet Inc."
2001:2f0::,2001:2f0:ffff:ffff:ffff:ffff:ffff:ffff,42540547741554053487332226770350899200,42540547820782216001596564363894849535,"AS7514 Media EXchange, Inc."
2001:2f8::,2001:2f8:ffff:ffff:ffff:ffff:ffff:ffff,42540548375379353601446927518702501888,42540548454607516115711265112246452223,"AS2907 Research Organization of Information and Systems, National Institute of Informatics"
2001:308::,2001:308:ffff:ffff:ffff:ffff:ffff:ffff,42540549643029953829676329015405707264,42540549722258116343940666608949657599,"AS7668 Hokuriku Telecommunication Network Co."
2001:310::,2001:310:ffff:ffff:ffff:ffff:ffff:ffff,42540550276855253943791029763757309952,42540550356083416458055367357301260287,"AS4694 Yahoo Japan Corporation"
2001:318::,2001:318:ffff:ffff:ffff:ffff:ffff:ffff,42540550910680554057905730512108912640,42540550989908716572170068105652862975,"AS7522 STNet, Incorporated"
2001:320::,2001:320:ffff:ffff:ffff:ffff:ffff:ffff,42540551544505854172020431260460515328,42540551623734016686284768854004465663,"AS1237 Korea Institute of Science and Technology Information"
2001:328::,2001:328:ffff:ffff:ffff:ffff:ffff:ffff,42540552178331154286135132008812118016,42540552257559316800399469602356068351,"AS2042 JARING Communications Sdn Bhd."
2001:330::,2001:330:ffff:ffff:ffff:ffff:ffff:ffff,42540552812156454400249832757163720704,42540552891384616914514170350707671039,"AS6619 SamsungSDS Inc."
2001:338::,2001:338:ffff:ffff:ffff:ffff:ffff:ffff,42540553445981754514364533505515323392,42540553525209917028628871099059273727,"AS4675 UNIADEX, LTD."
2001:340::,2001:340:ffff:ffff:ffff:ffff:ffff:ffff,42540554079807054628479234253866926080,42540554159035217142743571847410876415,"AS4678 Canon IT Solutions Inc."
2001:348::,2001:348:ffff:ffff:ffff:ffff:ffff:ffff,42540554713632354742593935002218528768,42540554792860517256858272595762479103,"AS7679 Kyushu Telecommunication Network Co.,Inc."
2001:350::,2001:350:ffff:ffff:ffff:ffff:ffff:ffff,42540555347457654856708635750570131456,42540555426685817370972973344114081791,"AS7671 NTT SmartConnect Corporation"
2001:358::,2001:358:ffff:ffff:ffff:ffff:ffff:ffff,42540555981282954970823336498921734144,42540556060511117485087674092465684479,"AS4680 Mitsubishi Electric Information Network Corporation"
2001:360::,2001:360:ffff:ffff:ffff:ffff:ffff:ffff,42540556615108255084938037247273336832,42540556694336417599202374840817287167,"AS1221 Telstra Pty Ltd"
2001:370::,2001:370:ffff:ffff:ffff:ffff:ffff:ffff,42540557882758855313167438743976542208,42540557961987017827431776337520492543,"AS9607 BroadBand Tower, Inc."
2001:378::,2001:378:ffff:ffff:ffff:ffff:ffff:ffff,42540558516584155427282139492328144896,42540558595812317941546477085872095231,"AS9318 Hanaro Telecom Inc."
2001:380::,2001:380:ffff:ffff:ffff:ffff:ffff:ffff,42540559150409455541396840240679747584,42540559229637618055661177834223697919,"AS4713 NTT Communications Corporation"
2001:388::,2001:388:ffff:ffff:ffff:ffff:ffff:ffff,42540559784234755655511540989031350272,42540559863462918169775878582575300607,"AS7575 Australian Academic and Reasearch Network (AARNet)"
2001:398::,2001:398:ffff:ffff:ffff:ffff:ffff:ffff,42540561051885355883740942485734555648,42540561131113518398005280079278505983,"AS7682 HOKKAIDO TELECOMMUNICATIONS NETWORK Co., Inc."
2001:3a0::,2001:3a0:ffff:ffff:ffff:ffff:ffff:ffff,42540561685710655997855643234086158336,42540561764938818512119980827630108671,"AS7521 INTERNET MULTIFEED CO."
2001:3a8::,2001:3a8:ffff:ffff:ffff:ffff:ffff:ffff,42540562319535956111970343982437761024,42540562398764118626234681575981711359,"AS9848 Enterprise Networks"
2001:3b0::,2001:3b0:ffff:ffff:ffff:ffff:ffff:ffff,42540562953361256226085044730789363712,42540563032589418740349382324333314047,"AS17529 COMMUNITY NETWORK CENTER INC."
2001:3b8::,2001:3b8:ffff:ffff:ffff:ffff:ffff:ffff,42540563587186556340199745479140966400,42540563666414718854464083072684916735,"AS2527 So-net Entertainment Corporation"
2001:3c0::,2001:3c0:1fff:ffff:ffff:ffff:ffff:ffff,42540564221011856454314446227492569088,42540564230915376768597488426685562879,"AS7516 Tohoku Intelligent Telecommunication Co., Inc."
2001:3c8::,2001:3c8:9006:ffff:ffff:ffff:ffff:ffff,42540564854837156568429146975844171776,42540564899411460463440139276435587071,"AS4621 UNSPECIFIED UNINET-TH"
2001:3c8:9007::,2001:3c8:9007:ffff:ffff:ffff:ffff:ffff,42540564899411460463440139276435587072,42540564899412669389259753905610293247,AS65501
2001:3c8:9008::,2001:3c8:ffff:ffff:ffff:ffff:ffff:ffff,42540564899412669389259753905610293248,42540564934065319082693484569388122111,"AS4621 UNSPECIFIED UNINET-TH"
2001:3d8::,2001:3d8:ffff:ffff:ffff:ffff:ffff:ffff,42540566122487756796658548472547377152,42540566201715919310922886066091327487,"AS9595 NTT-ME Corporation"
2001:3e0::,2001:3e0:ffff:ffff:ffff:ffff:ffff:ffff,42540566756313056910773249220898979840,42540566835541219425037586814442930175,"AS10013 FreeBit Co.,Ltd."
2001:400::,2001:400:ffff:ffff:ffff:ffff:ffff:ffff,42540569291614257367232052214305390592,42540569370842419881496389807849340927,"AS293 ESnet"
2001:410::,2001:410:100:ffff:ffff:ffff:ffff:ffff,42540570559264857595461453711008595968,42540570559575551531102413408908083199,"AS26677 ORANO"
2001:410:101::,2001:410:101:ffff:ffff:ffff:ffff:ffff,42540570559575551531102413408908083200,42540570559576760456922028038082789375,"AS6509 Canarie Inc"
2001:410:102::,2001:410:102:ffff:ffff:ffff:ffff:ffff,42540570559576760456922028038082789376,42540570559577969382741642667257495551,"AS53904 Canarie Inc"
2001:410:103::,2001:410:fff:ffff:ffff:ffff:ffff:ffff,42540570559577969382741642667257495552,42540570564216617752602974810605092863,"AS26677 ORANO"
2001:410:1000::,2001:410:10ff:ffff:ffff:ffff:ffff:ffff,42540570564216617752602974810605092864,42540570564526102762424319879329873919,"AS271 BCnet"
2001:410:1100::,2001:410:1fff:ffff:ffff:ffff:ffff:ffff,42540570564526102762424319879329873920,42540570569168377909744495910201589759,"AS26677 ORANO"
2001:410:2000::,2001:410:20ff:ffff:ffff:ffff:ffff:ffff,42540570569168377909744495910201589760,42540570569477862919565840978926370815,"AS10965 MRNet"
2001:410:2100::,2001:410:5fff:ffff:ffff:ffff:ffff:ffff,42540570569477862919565840978926370816,42540570588975418538310580308587577343,"AS26677 ORANO"
2001:410:6000::,2001:410:60ff:ffff:ffff:ffff:ffff:ffff,42540570588975418538310580308587577344,42540570589284903548131925377312358399,"AS15296 Cybera Inc"
2001:410:6100::,2001:410:8002:ffff:ffff:ffff:ffff:ffff,42540570589284903548131925377312358400,42540570598882565630052466395304689663,"AS26677 ORANO"
